team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
Arsenal,559,37433,67,75.597486034967,55,58.60555443074554,546,430,64,6,65,74.07514831516892,213.30212473496795,133.898755537346
Aston_Villa,560,36308,54,63.32516366709024,43,46.03440098743886,456,341,68,3,52,59.519319330342114,185.3762754201889,120.8619107156992
Bournemouth,580,37547,57,74.35113907046616,41,51.370082730893046,579,434,97,3,51,69.02295707911253,193.77320671267807,105.07931612897664
Brentford,560,37592,64,68.22792474273592,43,48.61603051517159,441,331,62,1,59,63.66091163549572,189.65517050027847,107.39621451869607
Brighton,577,37122,63,64.4017713945359,41,43.70575747732073,506,366,73,3,56,59.07358951680362,206.9182461295277,133.6388798225671
Chelsea,539,36317,60,73.04539950191975,46,53.882920529693365,586,451,96,2,56,69.2395551726222,218.94826461654156,127.79780787695199
Crystal_Palace,550,36290,46,65.94156604912132,38,51.78358117956668,497,370,71,4,43,62.896890609525144,172.7525050486438,95.27507721353322
Everton,533,36870,37,45.393646428361535,24,34.37973491381854,379,282,75,2,35,43.87130876816809,115.35651877708733,66.6872496297583
Fulham,557,34537,52,56.15150390565395,43,43.86399999912828,491,383,73,1,49,53.1068284958601,183.9837525933981,114.31749419867992
Ipswich,573,36086,31,36.88805270567536,23,27.60523968655616,332,264,79,5,29,35.36571503058076,112.31331249885261,65.71467301156372
Leicester,552,35958,28,34.55660078767687,25,26.659454975277185,303,235,82,0,27,33.034263086505234,108.86287487111986,69.90952466242015
Liverpool,583,37544,85,94.84787472337484,65,70.8027959857136,648,511,65,3,76,87.99735514447093,326.89441815018654,204.10311365593225
Manchester_City,549,37620,71,75.13534756656736,51,56.89449667930603,608,470,57,2,68,72.09067217167467,270.09998722281307,179.1601569969207
Manchester_United,564,36490,38,55.76014443486929,28,41.257416038773954,512,389,82,3,34,52.71546923369169,167.260228398256,105.45406794082373
Newcastle_United,581,37587,66,72.08756144531071,49,50.740982035174966,523,395,68,1,61,67.5205482635647,202.8815078092739,116.53136199899018
Nottingham_Forest,576,37230,57,53.95075405295938,41,38.00252659153193,461,330,86,1,54,51.667247421108186,131.13170946855098,74.17378012929112
Southampton,597,37565,25,39.899875364266336,16,30.014308878220618,342,267,89,3,25,38.37753765936941,123.09542201180011,79.98674834426492
Tottenham,576,37634,61,66.11066501960158,47,50.94639021344483,496,376,70,1,58,63.065989676862955,204.6763747986406,123.61335171200335
West_Ham,567,36389,42,49.9922938561067,28,33.78469081688672,458,309,75,3,39,47.70878735836595,131.98141601122916,72.72016916703433
Wolverhampton_Wanderers,585,37645,53,45.77073637628928,42,36.067060210742056,430,319,75,1,53,45.77073637628928,148.0897956583649,88.12713461508974
